,ageEstimate,companyFollowerCount,companyHasLogo,companyName,companyStaffCount,companyUrl,companyUrn,connectionsCount,country,endDate,followable,followersCount,genderEstimate,hasPicture,isPremium,mbrLocation,mbrLocationCode,mbrTitle,memberUrn,posLocation,posLocationCode,posTitle,positionId,startDate,avgMemberPosDuration,avgCompanyPosDuration,,,,,,,,,,,,,,
12,33,251,a2864681-4c11-494d-9260-62775f5735c9-2.png,Hotel Grand Chancellor Hobart,59,http://www.grandchancellorhotels.com/hotel-grand-chancellor-hobart,urn:li:company:448442,500,au,11/1/2010,1,886,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1,"Leura, New South Wales, Australia","urn:li:fs_city:(au,2-4068)",Conference and Events Manager at Fairmont Resort Blue Mountains - MGallery Collection,urn:li:member:100189195,Hobart,,Assistant Banquet Manager,337517,12/1/2008,898.3333,797.8854,,,,,,,,,,,,,,
13,33,47886,4bd41768-6c06-4008-9903-d5ab034a5524-2.png,Hilton Hotels & Resorts,5214,http://www.hiltonworldwide.com/portfolio/hilton/,urn:li:company:3880734,500,au,11/1/2008,1,886,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1,"Leura, New South Wales, Australia","urn:li:fs_city:(au,2-4068)",Conference and Events Manager at Fairmont Resort Blue Mountains - MGallery Collection,urn:li:member:100189195,"Adelaide, Australia","urn:li:fs_region:(au,4886)",Banquet Team Leader,337518,9/1/2005,898.3333,717.4315,,,,,,,,,,,,,,
14,33,3043,a6dae82a-0ac5-4d29-8682-c21c6be64a8b-2.png,Adelaide Convention Centre,158,http://www.adelaidecc.com.au,urn:li:company:139584,500,au,9/1/2005,1,886,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1,"Leura, New South Wales, Australia","urn:li:fs_city:(au,2-4068)",Conference and Events Manager at Fairmont Resort Blue Mountains - MGallery Collection,urn:li:member:100189195,"Adelaide, Australia","urn:li:fs_region:(au,4886)",F&B Attendant,337519,7/1/2005,898.3333,1362.8257,,,,,,,,,,,,,,
15,33,124267,dcc49bf3-0019-4588-95a6-fe532177802e-2.png,Taj Hotels,9870,http://www.tajhotels.com,urn:li:company:10143,500,au,2/1/2005,1,886,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1,"Leura, New South Wales, Australia","urn:li:fs_city:(au,2-4068)",Conference and Events Manager at Fairmont Resort Blue Mountains - MGallery Collection,urn:li:member:100189195,"Mumbai Area, India","urn:li:fs_region:(in,7150)",Various,337520,10/1/2002,898.3333,740.5,,,,,,,,,,,,,,
16,33,,,The Star Gold Coast,,,urn:li:company:18018975,500,au,,1,886,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1,"Leura, New South Wales, Australia","urn:li:fs_city:(au,2-4068)",Conference and Events Manager at Fairmont Resort Blue Mountains - MGallery Collection,urn:li:member:100189195,Gold Coast,,Events Opetations Manager ,29038883,7/1/2013,898.3333,932.2632,,,,,,,,,,,,,,
17,33,391,16b2bf18-fe18-41aa-b82f-80a8a03df5b7-2.png,"Fairmont Resort & Spa Blue Mountains, MGallery by Sofitel",56,http://www.fairmontresort.com.au,urn:li:company:997903,500,au,,1,886,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1,"Leura, New South Wales, Australia","urn:li:fs_city:(au,2-4068)",Conference and Events Manager at Fairmont Resort Blue Mountains - MGallery Collection,urn:li:member:100189195,"Blue Mountains, Australia ",,Conference and Events Manager,32893055,6/1/2018,898.3333,513.1781,,,,,,,,,,,,,,
18,33,,,The Star Gold Coast,,,urn:li:company:18018975,500,au,4/1/2018,1,886,male,7a3eae50-615b-4f5e-bb27-3a5d7fe81acd-3.jpg,1,"Leura, New South Wales, Australia","urn:li:fs_city:(au,2-4068)",Conference and Events Manager at Fairmont Resort Blue Mountains - MGallery Collection,urn:li:member:100189195,Gold Coast ,,Events Operations Manager ,32893056,7/1/2013,898.3333,932.2632,,,,,,,,,,,,,,
19,40,149380,3259c375-5237-48a0-858b-da564cc27b50-2.png,Laing O'Rourke,7114,http://www.laingorourke.com,urn:li:company:164668,500,au,,1,556,,2cd3f7f6-6341-4748-a0d0-f577a54e9e70-3.jpg,0,"Sydney, Australia","urn:li:fs_region:(au,4910)",Construction Manager at Laing O'Rourke,urn:li:member:100207000,Novorail - Auburn Jct,,General Senior Project Engineer,227259,8/1/2013,988.8333,769.3222,,,,,,,,,,,,,,
20,40,117254,101bdb37-1212-4d2e-a75a-be5ad5145f04-2.png,CPB Contractors,6157,http://www.cpbcon.com.au/,urn:li:company:13648,500,au,8/1/2013,1,556,,2cd3f7f6-6341-4748-a0d0-f577a54e9e70-3.jpg,0,"Sydney, Australia","urn:li:fs_region:(au,4910)",Construction Manager at Laing O'Rourke,urn:li:member:100207000,"SFL, M2, K2RQ Sydney Area, Australia",,Senior Project Engineer,227260,9/1/2010,988.8333,750.7748,,,,,,,,,,,,,,
21,40,117254,101bdb37-1212-4d2e-a75a-be5ad5145f04-2.png,CPB Contractors,6157,http://www.cpbcon.com.au/,urn:li:company:13648,500,au,9/1/2010,1,556,,2cd3f7f6-6341-4748-a0d0-f577a54e9e70-3.jpg,0,"Sydney, Australia","urn:li:fs_region:(au,4910)",Construction Manager at Laing O'Rourke,urn:li:member:100207000,K2RQ,,Project Engineer,227261,10/1/2009,988.8333,750.7748,,,,,,,,,,,,,,
